Index,Voltage_mV
0,0.047684
1,0.004172
2,-0.013411
3,-0.040237
4,-0.084040
5,-0.035609
6,-0.010432
7,-0.021160
8,-0.019966
9,0.006414
10,-0.005371
11,-0.010124
12,0.002081
13,0.000611
14,0.031594
15,0.046647
16,0.034859
17,0.012212
18,-0.010451
19,-0.047093
20,-0.035158
21,0.004192
22,0.034280
23,0.042747
24,-0.003283
25,0.031151
26,0.007085
27,-0.049024
28,0.004183
29,0.021145
30,-0.000318
31,-0.007899
32,-0.039940
33,-0.036059
34,-0.029502
35,-0.023368
36,0.049504
37,0.051812
38,0.007495
39,0.060972
40,0.024979
41,-0.033391
42,-0.016365
43,-0.006996
44,0.007730
45,-0.045964
46,-0.079573
47,-0.077602
48,-0.057511
49,-0.044651
50,-0.017811
51,0.034923
52,0.056336
53,0.019744
54,-0.002576
55,0.080655
56,0.077448
57,0.054380
58,0.058039
59,0.008639
60,-0.007418
61,0.013308
62,0.005637
63,-0.018672
64,-0.082894
65,-0.068164
66,-0.033096
67,-0.013507
68,-0.013206
69,-0.031167
70,0.036715
71,0.067436
72,0.044358
73,0.058247
74,0.014997
75,-0.040224
76,-0.017054
77,-0.049506
78,-0.019600
79,0.006061
80,-0.001162
81,0.002624
82,-0.013751
83,-0.026118
84,-0.021207
85,-0.058481
86,-0.054465
87,-0.019589
88,0.032882
89,0.050524
90,0.058459
91,0.045543
92,-0.009827
93,-0.014450
94,-0.013345
95,0.028607
96,0.020379
97,-0.073667
98,-0.018952
99,0.005633
100,0.035855
101,0.066140
102,0.013817
103,-0.040565
104,0.014318
105,0.018389
106,0.005120
107,-0.050446
108,-0.041432
109,-0.030277
110,-0.003137
111,0.070858
112,0.070364
113,0.079481
114,0.053351
115,0.036307
116,-0.027603
117,-0.097432
118,-0.054994
119,-0.027335
120,-0.054120
121,-0.042050
122,-0.048756
123,-0.003403
124,0.021778
125,0.030454
126,0.053356
127,0.021650
128,-0.002923
129,0.008167
130,-0.041704
131,-0.038742
132,-0.011799
133,-0.008571
134,-0.037641
135,0.044349
136,0.035029
137,0.006479
138,0.042591
139,0.008363
140,-0.019365
141,-0.037736
142,-0.020407
143,0.008328
144,0.025538
145,0.089554
146,0.031673
147,-0.012925
148,-0.034650
149,-0.021240
150,-0.047106
151,-0.051167
152,-0.067834
153,-0.003165
154,0.026123
155,0.014387
156,0.020044
157,0.055233
158,0.094999
159,0.056506
160,0.023401
161,0.013312
162,-0.003510
163,-0.054294
164,-0.059089
165,-0.083104
166,-0.024092
167,0.006554
168,-0.034941
169,-0.053215
170,-0.031504
171,-0.031717
172,-0.024855
173,0.005514
174,0.046313
175,0.033839
176,0.029243
177,0.027926
178,0.026447
179,-0.003600
180,0.055991
181,0.005192
182,-0.040100
183,0.000641
184,-0.001132
185,-0.005673
186,-0.020180
187,0.013219
188,0.076825
189,0.098511
190,0.011180
191,-0.018141
192,-0.083403
193,-0.119212
194,-0.062302
195,-0.014142
196,0.002855
197,-0.016672
198,-0.000210
199,0.007204
200,0.011352
201,0.035433
202,0.030853
203,0.008497
204,-0.005294
205,-0.041882
206,-0.029452
207,-0.002438
208,0.012265
209,0.040867
210,0.079528
211,0.043217
212,-0.042690
213,-0.022960
214,0.010370
215,-0.006672
216,-0.024059
217,-0.030975
218,-0.026977
219,-0.007842
220,-0.015494
221,-0.024571
